feature,importancia,desvio
descuento_pct,0.141085392593455,0.0020473719860372346
cobertura_cliente_dias,0.05094915357698419,0.0017824097040958972
ciclo_vida,0.012418826181305484,0.002541718402239914
indice_estacional,0.006450397864902202,0.0009928584877093643
tipo_oferta,0.005809658309967565,0.00019701116860922156
tasa_acept_cliente_hist,0.0024990863902876193,0.00043305364287012804
segmento,0.0017639034419640136,0.0010008531101699304
tasa_acept_rep_hist,0.0009376627114642636,0.0005148868398700965
tasa_acept_producto_hist,0.0007645417560064131,0.00038119648702923973
canal,0.0006457421744881694,0.0004722342890131364
descuento_vs_medio_tipo,0.00039374153091886743,0.0005724609151180573
tasa_acept_tipo_hist,0.00037645975427943085,6.639013637467115e-05
antiguedad_meses,0.00026953507776195096,0.00013285015729550914
cierre_trimestre,0.0001920702719484524,0.0007927745006176265
linea_promocion,6.276013621679215e-05,6.294161638729435e-05
margen_std_pct,1.7281776639325546e-05,0.00022470240652480464
region,1.2329688596583269e-05,6.757663388653104e-05
tipo_venta,6.063781276729093e-07,2.1125918667989074e-05
en_temporada,0.0,0.0
mes_nro,-6.063781276951137e-06,5.8448031455036214e-05
cadena_frio,-3.5725778023539455e-05,5.099923847680081e-05
precio_lista_usd,-5.8060705727114303e-05,0.00012004072780553457
unidades_ofertadas,-9.600987021888645e-05,0.00011582697468171225
valor_oferta_usd,-0.0001602354202443109,0.00020398935593543254
atc1,-0.00018898784979933433,0.00028106253994514453
compras_previas_cliente_producto,-0.00020551165377905947,0.00016458267386892488
tasa_acept_cliente_reciente,-0.0005933915294634717,0.0002980699661524046
descuento_usd,-0.0007020848088534019,9.631597553773478e-05
