mes_objetivo,cod_filial,pais,canal,segmento,rank_segmento,sku,marca,atc1,tipo_venta,ciclo_vida,precio_lista_usd,descuento_pct,precio_neto,margen_unitario,elasticidad,nivel_estimacion,indice_estacional,aporte_margen_pct,dias_cobertura,unidades_por_vencer,demanda_esperada,prob_aceptacion,riesgo_devolucion,margen_esperado_usd,valor_rescate_usd,objetivo,objetivo_sin_oferta,ganancia_vs_sin_oferta_usd,en_borde_de_soporte,justificativo,id_filial,id_producto
2026-01,AR,Argentina,Distribuidor,A,1.0,ADM-0114,Adium K114,C,Ético (Rx),Crecimiento,22.27,0.22,17.37,10.33,-2.882,Producto,1.0,0.00834,46.1,0.0,197.0,0.8043,0.1008,1640.58,0.0,1475.27,1358.35,116.92,1,"Elasticidad estimada -2.88 (nivel producto), con margen unitario de usd 10.33 (59% sobre precio neto); probabilidad de aceptación estimada 80%; riesgo de devolución controlado (10%). El 22% maximiza el margen esperado neto: USD 1,475 contra USD 1,358 sin oferta (+USD 117). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,114
2026-01,AR,Argentina,Distribuidor,A,2.0,ADM-0067,Adium P067,N,Ético (Rx),Crecimiento,41.72,0.22,32.54,15.63,-2.771,Producto,1.05,0.00193,42.2,0.0,27.0,0.8732,0.2567,371.41,0.0,276.09,273.64,2.45,1,"Elasticidad estimada -2.77 (nivel producto), con margen unitario de usd 15.63 (48% sobre precio neto); probabilidad de aceptación estimada 87%; riesgo de devolución alto (26%): condicionar la oferta a que el cliente no supere su cobertura objetivo. El 22% maximiza el margen esperado neto: USD 276 contra USD 274 sin oferta (+USD 2). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,67
2026-01,AR,Argentina,Distribuidor,A,3.0,ADM-0075,Adium X075,N,Ético (Rx),Madurez,6.11,0.22,4.77,1.99,-1.124,Producto,1.05,0.00047,67.6,348.0,57.0,0.7481,0.2878,85.1,119.14,179.75,113.07,66.68,1,"348 unidades vencen en menos de 180 días (usd 119 rescatables); elasticidad estimada -1.12 (nivel producto), con margen unitario de usd 1.99 (42% sobre precio neto); probabilidad de aceptación estimada 75%; riesgo de devolución alto (29%): condicionar la oferta a que el cliente no supere su cobertura objetivo. El 22% maximiza el margen esperado neto: USD 180 contra USD 113 sin oferta (+USD 67). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,75
2026-01,AR,Argentina,Distribuidor,A,4.0,ADM-0119,Adium P119,C,Ético (Rx),Crecimiento,11.71,0.22,9.13,4.33,-2.525,Producto,1.0,0.00054,30.0,0.0,27.0,0.893,0.1359,102.67,0.0,88.71,87.89,0.82,1,"Elasticidad estimada -2.52 (nivel producto), con margen unitario de usd 4.33 (47% sobre precio neto); probabilidad de aceptación estimada 89%; riesgo de devolución controlado (14%). El 22% maximiza el margen esperado neto: USD 89 contra USD 88 sin oferta (+USD 1). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,119
2026-01,AR,Argentina,Distribuidor,B,1.0,ADM-0114,Adium K114,C,Ético (Rx),Crecimiento,22.27,0.22,17.37,10.33,-2.882,Producto,1.0,0.00834,46.1,0.0,132.0,0.7778,0.1008,1060.41,0.0,953.56,907.91,45.65,1,"Elasticidad estimada -2.88 (nivel producto), con margen unitario de usd 10.33 (59% sobre precio neto); probabilidad de aceptación estimada 78%; riesgo de devolución controlado (10%). El 22% maximiza el margen esperado neto: USD 954 contra USD 908 sin oferta (+USD 46). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,114
2026-01,AR,Argentina,Distribuidor,C,1.0,ADM-0114,Adium K114,C,Ético (Rx),Crecimiento,22.27,0.22,17.37,10.33,-2.882,Producto,1.0,0.00834,46.1,0.0,129.0,0.8043,0.1008,1071.05,0.0,963.13,886.8,76.33,1,"Elasticidad estimada -2.88 (nivel producto), con margen unitario de usd 10.33 (59% sobre precio neto); probabilidad de aceptación estimada 80%; riesgo de devolución controlado (10%). El 22% maximiza el margen esperado neto: USD 963 contra USD 887 sin oferta (+USD 76). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,114
2026-01,AR,Argentina,Farmacia Cadena,A,1.0,ADM-0114,Adium K114,C,Ético (Rx),Crecimiento,22.27,0.22,17.37,10.33,-2.882,Producto,1.0,0.00834,46.1,0.0,87.0,0.8043,0.1008,719.7,0.0,647.18,595.89,51.29,1,"Elasticidad estimada -2.88 (nivel producto), con margen unitario de usd 10.33 (59% sobre precio neto); probabilidad de aceptación estimada 80%; riesgo de devolución controlado (10%). El 22% maximiza el margen esperado neto: USD 647 contra USD 596 sin oferta (+USD 51). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,114
2026-01,AR,Argentina,Farmacia Cadena,A,2.0,ADM-0057,Adium F057,L,Ético (Rx),Madurez,7.68,0.2,6.14,2.88,-0.449,Producto,1.0,0.00135,35.6,39.0,26.0,0.8732,0.2986,64.96,73.43,118.99,79.44,39.55,0,"39 unidades vencen en menos de 180 días (usd 73 rescatables); elasticidad estimada -0.45 (nivel producto), con margen unitario de usd 2.88 (47% sobre precio neto); probabilidad de aceptación estimada 87%; riesgo de devolución alto (30%): condicionar la oferta a que el cliente no supere su cobertura objetivo. El 20% maximiza el margen esperado neto: USD 119 contra USD 79 sin oferta (+USD 40).",2,57
2026-01,AR,Argentina,Farmacia Cadena,B,1.0,ADM-0114,Adium K114,C,Ético (Rx),Crecimiento,22.27,0.22,17.37,10.33,-2.882,Producto,1.0,0.00834,46.1,0.0,58.0,0.7481,0.1008,445.38,0.0,400.51,396.48,4.03,1,"Elasticidad estimada -2.88 (nivel producto), con margen unitario de usd 10.33 (59% sobre precio neto); probabilidad de aceptación estimada 75%; riesgo de devolución controlado (10%). El 22% maximiza el margen esperado neto: USD 401 contra USD 396 sin oferta (+USD 4). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,114
2026-01,AR,Argentina,Farmacia Cadena,B,2.0,ADM-0103,Adium Z103,R,Ético (Rx),Lanzamiento,30.26,0.18,24.81,10.72,-1.203,Producto,0.8,0.01594,44.8,10.0,27.0,0.7075,0.1314,203.87,140.9,317.99,306.86,11.13,0,"Está fuera de temporada (índice 0.80), por eso el descuento compensa la menor demanda natural; 10 unidades vencen en menos de 180 días (usd 141 rescatables); elasticidad estimada -1.20 (nivel producto), con margen unitario de usd 10.72 (43% sobre precio neto); probabilidad de aceptación estimada 71%; riesgo de devolución controlado (13%). El 18% maximiza el margen esperado neto: USD 318 contra USD 307 sin oferta (+USD 11).",2,103
2026-01,AR,Argentina,Farmacia Cadena,B,3.0,ADM-0057,Adium F057,L,Ético (Rx),Madurez,7.68,0.22,5.99,2.73,-0.449,Producto,1.0,0.00135,35.6,39.0,40.0,0.8043,0.3055,86.76,103.59,163.84,120.3,43.54,1,"39 unidades vencen en menos de 180 días (usd 104 rescatables); elasticidad estimada -0.45 (nivel producto), con margen unitario de usd 2.73 (46% sobre precio neto); probabilidad de aceptación estimada 80%; riesgo de devolución alto (31%): condicionar la oferta a que el cliente no supere su cobertura objetivo. El 22% maximiza el margen esperado neto: USD 164 contra USD 120 sin oferta (+USD 44). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,57
2026-01,AR,Argentina,Farmacia Cadena,C,1.0,ADM-0114,Adium K114,C,Ético (Rx),Crecimiento,22.27,0.22,17.37,10.33,-2.882,Producto,1.0,0.00834,46.1,0.0,64.0,0.8043,0.1008,532.69,0.0,479.02,441.05,37.96,1,"Elasticidad estimada -2.88 (nivel producto), con margen unitario de usd 10.33 (59% sobre precio neto); probabilidad de aceptación estimada 80%; riesgo de devolución controlado (10%). El 22% maximiza el margen esperado neto: USD 479 contra USD 441 sin oferta (+USD 38). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,114
2026-01,AR,Argentina,Farmacia Cadena,C,2.0,ADM-0103,Adium Z103,R,Ético (Rx),Lanzamiento,30.26,0.18,24.81,10.72,-1.203,Producto,0.8,0.01594,44.8,10.0,29.0,0.7481,0.1314,230.85,140.9,341.43,328.61,12.82,0,"Está fuera de temporada (índice 0.80), por eso el descuento compensa la menor demanda natural; 10 unidades vencen en menos de 180 días (usd 141 rescatables); elasticidad estimada -1.20 (nivel producto), con margen unitario de usd 10.72 (43% sobre precio neto); probabilidad de aceptación estimada 75%; riesgo de devolución controlado (13%). El 18% maximiza el margen esperado neto: USD 341 contra USD 329 sin oferta (+USD 13).",2,103
2026-01,AR,Argentina,Farmacia Cadena,C,3.0,ADM-0057,Adium F057,L,Ético (Rx),Madurez,7.68,0.2,6.14,2.88,-0.449,Producto,1.0,0.00135,35.6,39.0,4.0,0.8732,0.2986,11.14,12.59,20.4,13.62,6.78,0,"39 unidades vencen en menos de 180 días (usd 13 rescatables); elasticidad estimada -0.45 (nivel producto), con margen unitario de usd 2.88 (47% sobre precio neto); probabilidad de aceptación estimada 87%; riesgo de devolución alto (30%): condicionar la oferta a que el cliente no supere su cobertura objetivo. El 20% maximiza el margen esperado neto: USD 20 contra USD 14 sin oferta (+USD 7).",2,57
2026-01,AR,Argentina,Farmacia Independiente,A,1.0,ADM-0114,Adium K114,C,Ético (Rx),Crecimiento,22.27,0.22,17.37,10.33,-2.882,Producto,1.0,0.00834,46.1,0.0,203.0,0.8636,0.1008,1813.35,0.0,1630.64,1398.24,232.41,1,"Elasticidad estimada -2.88 (nivel producto), con margen unitario de usd 10.33 (59% sobre precio neto); probabilidad de aceptación estimada 86%; riesgo de devolución controlado (10%). El 22% maximiza el margen esperado neto: USD 1,631 contra USD 1,398 sin oferta (+USD 232). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,114
2026-01,AR,Argentina,Farmacia Independiente,B,1.0,ADM-0114,Adium K114,C,Ético (Rx),Crecimiento,22.27,0.22,17.37,10.33,-2.882,Producto,1.0,0.00834,46.1,0.0,172.0,0.8043,0.1008,1428.07,0.0,1284.18,1182.4,101.78,1,"Elasticidad estimada -2.88 (nivel producto), con margen unitario de usd 10.33 (59% sobre precio neto); probabilidad de aceptación estimada 80%; riesgo de devolución controlado (10%). El 22% maximiza el margen esperado neto: USD 1,284 contra USD 1,182 sin oferta (+USD 102). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,114
2026-01,AR,Argentina,Farmacia Independiente,B,2.0,ADM-0057,Adium F057,L,Ético (Rx),Madurez,7.68,0.22,5.99,2.73,-0.449,Producto,1.0,0.00135,35.6,39.0,17.0,0.8732,0.3055,40.43,48.28,76.36,51.64,24.72,1,"39 unidades vencen en menos de 180 días (usd 48 rescatables); elasticidad estimada -0.45 (nivel producto), con margen unitario de usd 2.73 (46% sobre precio neto); probabilidad de aceptación estimada 87%; riesgo de devolución alto (31%): condicionar la oferta a que el cliente no supere su cobertura objetivo. El 22% maximiza el margen esperado neto: USD 76 contra USD 52 sin oferta (+USD 25). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,57
2026-01,AR,Argentina,Farmacia Independiente,C,1.0,ADM-0114,Adium K114,C,Ético (Rx),Crecimiento,22.27,0.22,17.37,10.33,-2.882,Producto,1.0,0.00834,46.1,0.0,24.0,0.8732,0.1008,218.42,0.0,196.41,166.57,29.85,1,"Elasticidad estimada -2.88 (nivel producto), con margen unitario de usd 10.33 (59% sobre precio neto); probabilidad de aceptación estimada 87%; riesgo de devolución controlado (10%). El 22% maximiza el margen esperado neto: USD 196 contra USD 167 sin oferta (+USD 30). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,114
2026-01,AR,Argentina,Farmacia Independiente,C,2.0,ADM-0067,Adium P067,N,Ético (Rx),Crecimiento,41.72,0.22,32.54,15.63,-2.771,Producto,1.05,0.00193,42.2,0.0,13.0,0.8732,0.2567,181.18,0.0,134.68,133.48,1.19,1,"Elasticidad estimada -2.77 (nivel producto), con margen unitario de usd 15.63 (48% sobre precio neto); probabilidad de aceptación estimada 87%; riesgo de devolución alto (26%): condicionar la oferta a que el cliente no supere su cobertura objetivo. El 22% maximiza el margen esperado neto: USD 135 contra USD 133 sin oferta (+USD 1). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",2,67
2026-01,AR,Argentina,Farmacia Independiente,C,3.0,ADM-0057,Adium F057,L,Ético (Rx),Madurez,7.68,0.18,6.3,3.04,-0.449,Producto,1.0,0.00135,35.6,39.0,19.0,0.8732,0.2917,50.27,53.95,89.55,59.01,30.53,0,"39 unidades vencen en menos de 180 días (usd 54 rescatables); elasticidad estimada -0.45 (nivel producto), con margen unitario de usd 3.04 (48% sobre precio neto); probabilidad de aceptación estimada 87%; riesgo de devolución alto (29%): condicionar la oferta a que el cliente no supere su cobertura objetivo. El 18% maximiza el margen esperado neto: USD 90 contra USD 59 sin oferta (+USD 31).",2,57
2026-01,AR,Argentina,Institucional,C,1.0,ADM-0103,Adium Z103,R,Ético (Rx),Lanzamiento,30.26,0.18,24.81,10.72,-1.203,Producto,0.8,0.01594,44.8,10.0,34.0,0.8043,0.1314,290.18,140.9,392.96,384.18,8.78,0,"Está fuera de temporada (índice 0.80), por eso el descuento compensa la menor demanda natural; 10 unidades vencen en menos de 180 días (usd 141 rescatables); elasticidad estimada -1.20 (nivel producto), con margen unitario de usd 10.72 (43% sobre precio neto); probabilidad de aceptación estimada 80%; riesgo de devolución controlado (13%). El 18% maximiza el margen esperado neto: USD 393 contra USD 384 sin oferta (+USD 9).",2,103
2026-01,CL,Chile,Farmacia Cadena,C,1.0,ADM-0038,Adium M038,N,Ético (Rx),Madurez,71.66,0.2,57.33,16.1,-1.828,Producto,1.05,0.00697,16.8,23.0,60.0,0.8571,0.5912,823.09,948.29,1284.78,882.7,402.09,0,"Atención: la cobertura es de solo 17 días — ofertar acá puede provocar quiebre de stock; 23 unidades vencen en menos de 180 días (usd 948 rescatables); elasticidad estimada -1.83 (nivel producto), con margen unitario de usd 16.10 (28% sobre precio neto); probabilidad de aceptación estimada 86%; riesgo de devolución alto (59%): condicionar la oferta a que el cliente no supere su cobertura objetivo. El 20% maximiza el margen esperado neto: USD 1,285 contra USD 883 sin oferta (+USD 402).",3,38
2026-01,CL,Chile,Farmacia Independiente,A,1.0,ADM-0099,Adium V099,A,OTC,Madurez,10.55,0.22,8.23,3.18,-2.788,Producto,1.02,0.00383,15.7,0.0,192.0,0.893,0.1009,544.77,0.0,489.79,487.93,1.86,1,"Atención: la cobertura es de solo 16 días — ofertar acá puede provocar quiebre de stock; elasticidad estimada -2.79 (nivel producto), con margen unitario de usd 3.18 (39% sobre precio neto); probabilidad de aceptación estimada 89%; riesgo de devolución controlado (10%). El 22% maximiza el margen esperado neto: USD 490 contra USD 488 sin oferta (+USD 2). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",3,99
